"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_002310475.1_ASM231047v1","GCF_010669245.1_ASM1066924v1","GCF_012219705.1_ASM1221970v1","GCF_012219925.1_ASM1221992v1","GCF_012220065.1_ASM1222006v1","GCF_012220405.1_ASM1222040v1"
"group_177","","hypothetical protein","6","6","1","1","1545","","","","275","1190","738","GCF_002310475.1_02077","GCF_010669245.1_00585","GCF_012219705.1_01235","GCF_012219925.1_01310","GCF_012220065.1_01187","GCF_012220405.1_01068"
"apbE_2","","FAD:protein FMN transferase","6","6","1","1","1933","","","","482","1073","974","GCF_002310475.1_00004","GCF_010669245.1_00694","GCF_012219705.1_01365","GCF_012219925.1_01123","GCF_012220065.1_01314","GCF_012220405.1_01295"
"group_201","","hypothetical protein","6","6","1","1","1362","","","","443","2582","1650","GCF_002310475.1_00958","GCF_010669245.1_01883","GCF_012219705.1_02348","GCF_012219925.1_00221","GCF_012220065.1_02215","GCF_012220405.1_02189"
"group_21","","hypothetical protein","6","6","1","1","2570","","","","422","554","528","GCF_002310475.1_02130","GCF_010669245.1_00630","GCF_012219705.1_01289","GCF_012219925.1_01256","GCF_012220065.1_01239","GCF_012220405.1_01227"
"group_225","","hypothetical protein","6","6","1","1","2558","","","","452","887","814","GCF_002310475.1_02102","GCF_010669245.1_00602","GCF_012219705.1_01261","GCF_012219925.1_01284","GCF_012220065.1_01211","GCF_012220405.1_01040"
"group_229","","hypothetical protein","6","6","1","1","1766","","","","1487","2039","1882","GCF_002310475.1_00047","GCF_010669245.1_00733","GCF_012219705.1_01404","GCF_012219925.1_01083","GCF_012220065.1_01351","GCF_012220405.1_01334"
"group_231","","hypothetical protein","6","6","1","1","1775","","","","224","893","380","GCF_002310475.1_00055","GCF_010669245.1_00745","GCF_012219705.1_01411","GCF_012219925.1_01073","GCF_012220065.1_01359","GCF_012220405.1_01342"
"group_232","","hypothetical protein","6","6","1","1","4076","","","","431","1640","1324","GCF_002310475.1_00154","GCF_010669245.1_00817","GCF_012219705.1_01485","GCF_012219925.1_01615","GCF_012220065.1_01437","GCF_012220405.1_01421"
"group_235","","hypothetical protein","6","6","1","1","3908","","","","119","425","324","GCF_002310475.1_00216","GCF_010669245.1_00889","GCF_012219705.1_01516","GCF_012219925.1_01655","GCF_012220065.1_01468","GCF_012220405.1_01453"
"group_236","","hypothetical protein","6","6","1","1","3744","","","","2147","2519","2423","GCF_002310475.1_00346","GCF_010669245.1_01027","GCF_012219705.1_01702","GCF_012219925.1_01805","GCF_012220065.1_01602","GCF_012220405.1_01583"
